s1_edad,s1_genero,s1_experiencia_clinica,s1_educacion,s1_titulo_terciario,s1_titulo,s1_no_titulo_universitario,s1_horas_semana_pacientes_atendidos,s1_contexto_trabajo,s1_orientacion_teo,s1_marco_teo_terapia_basada_arte,s1_marco_teo_psa,s1_marco_teo_tcc,s1_marco_teo_humanista,s1_marco_teo_eclectico,s2_evidencia_cientifica,s2_experiencia_personal,s2_entrenamiento_clinica,s2_tratamiento_preferencia_consultantes,s2_intuicion,s2_terapia_personal,s3_tratamiento_personal_consultantes,s3_investigacion_empirica_ensayos_controlados,s3_supervision,s3_estudios_de_caso,s3_discusion_pares,s3_libros,s3_observaciones_casos_clinicos,s3_medidas_resultado,s3_guias_manuales_clinicos,s4_apertura_terapias_desarrolladas_por_investigadores,s4_actualizacion_info_cientifica,s4_formacion_enfasis_investigacion,s4_supervisores_terapia_evidencia_requerimiento,s4_tratamientos_cientificos_eficientes,s4_atraer_consultantes_con_tbe,s4_hallazgos_cientificos_practica_diaria,s4_nueva_terapia_intento,s4_interes_aprender_tbe,s4_tratamientos_utilizados_base_empirica,s4_complejidad_consultantes_ensayos_clinicos,s4_consultantes_prefieren_otros_tratamientos,s4_terapia_manualizada,s4_diagnosticos_utilizados_son_simples,s4_tratamientos_preferencia_no_probados_ensayo_controlado,s4_enfoque_tratamiento_individual,s4_no_tiempo_aprender_tbe,s4_capacitacion_tbe_demasiado_dinero,s4_no_saber_tbe,s4_entrenamiento_clinico_no_info_tbe,s4_alianza_terapeutica_mas_importante,s4_terapias_igualmente_efectivas,s4_empleador_no_fondos_capacitacion_tbe,s4_exp_clinica_mas_importante_que_evidencia_cientifica,provincia_residencia,consentimiento_informado
41.0,Femenino,1.2,Licenciatura de Grado,,Lic. en Psicología,,12.0,Ámbito Privado,Ecléctico (más de una de estas opciones),,,,,Terapias Cognitivas/Comportamentales,2.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,5.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,0.0,5.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,0.0,7.0,6.0,0.0,7.0,4.0,4.0,7.0,0.0,6.0,4.0,6.0,2.0,Provincia de Buenos Aires,
26.0,Femenino,0.2,Licenciatura de Grado,,Lic. en Psicología,,13.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia Dialéctico Conductual, Terapia de esquemas",,,7.0,1.0,1.0,1.0,4.0,1.0,7.0,7.0,1.0,3.0,3.0,7.0,2.0,6.0,7.0,4.0,7.0,7.0,0.0,7.0,5.0,7.0,4.0,7.0,7.0,7.0,2.0,1.0,5.0,1.0,4.0,1.0,6.0,1.0,0.0,4.0,2.0,7.0,3.0,Provincia de Buenos Aires,
27.0,Femenino,1.0,Carrera de Especialización,,Lic. en Psicología,,30.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual, Terapia basada en Mindfulness",,,7.0,1.0,7.0,1.0,3.0,7.0,5.0,7.0,7.0,4.0,5.0,6.0,2.0,4.0,7.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,Ciudad Autónoma de Buenos Aires (CABA),
30.0,Masculino,1.3,Carrera de Especialización,,Lic. en Psicología,,35.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Dialéctico Conductual,,,7.0,5.0,5.0,1.0,,6.0,6.0,7.0,7.0,6.0,5.0,4.0,2.0,6.0,7.0,6.0,0.0,7.0,2.0,0.0,6.0,7.0,7.0,0.0,7.0,6.0,4.0,0.0,5.0,2.0,4.0,2.0,3.0,0.0,4.0,3.0,0.0,7.0,3.0,Provincia de Buenos Aires,
26.0,Masculino,2.0,Licenciatura de Grado,,Lic. en Psicología,,46.0,Ámbito Público (hospital u otro),Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Racional Emotiva, Terapia Cognitiva, Terapia de Conducta",,,7.0,7.0,7.0,1.0,1.0,7.0,6.0,6.0,7.0,5.0,5.0,7.0,4.0,4.0,6.0,7.0,4.0,4.0,1.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,4.0,1.0,7.0,4.0,6.0,1.0,4.0,4.0,1.0,7.0,4.0,Provincia de Buenos Aires,
38.0,Femenino,4.0,Carrera de Especialización,,Lic. en Psicología,,9.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual",,,7.0,6.0,2.0,3.0,,7.0,7.0,1.0,6.0,1.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,1.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,6.0,2.0,6.0,5.0,2.0,4.0,2.0,5.0,1.0,7.0,5.0,1.0,0.0,2.0,Ciudad Autónoma de Buenos Aires (CABA),
23.0,Femenino,1.3,Licenciatura de Grado,,Lic. en Psicología,,20.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso, Terapia Dialéctico Conductual",,,7.0,7.0,7.0,1.0,5.0,1.0,6.0,7.0,7.0,3.0,4.0,7.0,7.0,6.0,7.0,4.0,7.0,1.0,6.0,7.0,4.0,7.0,4.0,7.0,7.0,2.0,4.0,1.0,5.0,1.0,7.0,1.0,7.0,1.0,6.0,1.0,1.0,0.0,2.0,Provincia de Buenos Aires,
37.0,Femenino,1.1,Licenciatura de Grado,Licenciatura en Psicología ,Lic. en Psicología,,30.0,"Ámbito Privado, Obra Social o Prepaga",Ecléctico (más de una de estas opciones),,,,,"Terapias Cognitivas/Comportamentales, Sistémica",7.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,4.0,6.0,6.0,6.0,5.0,4.0,7.0,7.0,4.0,3.0,7.0,7.0,6.0,1.0,7.0,7.0,5.0,2.0,4.0,0.0,0.0,6.0,1.0,6.0,1.0,6.0,4.0,1.0,7.0,4.0,Provincia de Buenos Aires,
42.0,Femenino,17.0,Posdoctorado,,Lic. en Psicología,,10.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,Terapia Cognitiva,,,7.0,7.0,7.0,6.0,4.0,3.0,5.0,7.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,3.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,Ciudad Autónoma de Buenos Aires (CABA),
28.0,Masculino,2.0,Máster,,Lic. en Psicología,,9.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Análisis Conductual Aplicado, Terapia Cognitiva, Terapia de Conducta, Terapia de Aceptación y Compromiso",,,7.0,4.0,1.0,1.0,,4.0,5.0,1.0,7.0,1.0,3.0,6.0,2.0,5.0,6.0,4.0,7.0,5.0,7.0,7.0,7.0,4.0,2.0,7.0,7.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,7.0,1.0,1.0,0.0,1.0,Provincia de Buenos Aires,
37.0,Género no Binario,2.0,Carrera de Especialización,,Lic. en Psicología,,12.0,Ámbito Privado,Terapias Cognitivas/Comportamentales,,,"Terapia de Conducta, Terapia Dialéctico Conductual",,,6.0,6.0,6.0,2.0,4.0,6.0,6.0,0.0,6.0,4.0,5.0,6.0,2.0,5.0,5.0,5.0,7.0,3.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,4.0,4.0,2.0,6.0,2.0,Provincia de Buenos Aires,
25.0,Femenino,0.7,Licenciatura de Grado,,Lic. en Psicología,,16.0,"Ámbito Privado, Obra Social o Prepaga",Terapias Cognitivas/Comportamentales,,,"Terapia Cognitiva, Terapia de Conducta",,,7.0,7.0,5.0,1.0,1.0,1.0,5.0,7.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,7.0,7.0,5.0,4.0,5.0,4.0,7.0,5.0,7.0,6.0,7.0,4.0,3.0,5.0,0.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,2.0,Provincia de Buenos Aires,
47.0,Femenino,25.0,Posdoctorado,,Lic. en Psicología,,40.0,"Ámbito Público (hospital u otro), Ámbito Privado",Psicoanálisis,,Freudiano,,,,4.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,7.0,Ciudad Autónoma de Buenos Aires (CABA),
