"Marca temporal","¿Desea participar de la investigación?","Edad","Género","Provincia de Residencia","Años de Experiencia en la Clínica ","Nivel de Educación MÁXIMO Adquirido","En caso de haber respondido Terciario u otro, ¿cuál fue su título?","¿Usted ha tenido formación universitaria pública o privada?","¿Cuál es tu título?","En caso de haber respondido ""no tengo título universitario"", ¿cuál fue su título máximo adquirido?","Número de Horas por Semana Atendiendo Pacientes (Aproximado)","Contexto de Trabajo","Orientación Teórica","Indique qué disciplina realiza:","Indique qué marco teórico del psicoanálisis sigue usted:","Indique qué marco teórico utiliza usted en la clínica:","Indique qué marco teórico utiliza en la práctica:","Indique qué tipo marco teórico utiliza en la práctica:","Evidencia Científica","Experiencia Personal con Consultantes (es decir la propia experiencia ejerciendo)","Entrenamiento Práctico en Clínica","El tratamiento de Preferencia de los Consultantes ","Intuición","Terapia Personal","Experiencia Personal con Consultantes","Investigación Empírica con Ensayos Controlados ","Supervisión","Investigación Empírica de Estudios de Caso ","Discusión con Pares","Libros","Observaciones de Casos Clínicos (por ejemplo en ateneos, prácticas, etc)","Medidas de resultado (resultados de escalas, cuestionarios, etc)","Guías o manuales clínicos","Estoy dispuesto a utilizar nuevos y diferentes tipos de terapia desarrollados por investigadores","Es mi deber profesional estar al día con los nuevos desarrollos en la investigación clínica (entendiendo a la investigación como un proceso que sigue el método científico)","Mi formación clínica hizo énfasis en la investigación (entendiendo a la investigación como un proceso que sigue el método científico)","Mis supervisores requieren/han requerido que use tratamientos basados ​​en la evidencia (es decir, con apoyo del método científico)","Los tratamientos basados ​​en el método científico son eficientes/costo-efectivos ","Puedo atraer nuevos consultantes aprendiendo un tratamiento basado en evidencia (como resultado del método científico)","Es importante incorporar los hallazgos científicos en mi práctica diaria","Intentaría una nueva terapia incluso si fuera muy diferente de lo que estoy acostumbrado a hacer (es decir muy diferente a lo que ejerzo)","Estoy interesado en aprender tratamientos basados ​​en evidencia (como resultado del método científico)","Los tratamientos que uso con mis consultantes tienen una base empírica (es decir cuentan con apoyo del método científico)","Mis consultantes son más complejos y diversos que los de los ensayos clínicos (provenientes de la investigación científica, ejemplo ensayos aleatorizados y controlados)","Mis consultantes prefieren otros tratamientos que los tratamientos basados ​​en evidencia (como resultado del método científico)","La terapia no puede ser manualizada","Los diagnósticos utilizados en los ensayos clínicos son demasiado simples (ejemplo ensayos aleatorizados y controlados)","Los tratamientos que prefiero no se han probado en un ensayo controlado aleatorio","Tengo un enfoque de tratamiento individual para cada consultante","No tengo tiempo para aprender tratamientos basados ​​en evidencia (como resultado del método científico)","La capacitación en tratamientos basados ​​en evidencia me costaría demasiado dinero (evidencia como resultado del método científico)","No sé cuáles tratamientos están basados ​​en evidencia (como resultado del método científico)","Mi entrenamiento clínico no proporcionó información suficiente sobre tratamientos basados ​​en evidencia (como resultado del método científico)","La alianza terapéutica es más importante que aprender cómo hacer una forma específica de psicoterapia","La mayoría de las terapias son igualmente efectivas","Mi empleador no tiene los fondos para pagarme una capacitación en tratamientos basados ​​en evidencia (como resultado del método científico)","La experiencia clínica es más importante como guía para el tratamiento que la evidencia científica","Considero fundamental el uso del consentimiento informado y lo uso siempre al tomar pacientes nuevos

0 = No sabe/No contesta, 1 = Muy en desacuerdo , 4 = Ni de acuerdo ni en desacuerdo , 7 = Muy de acuerdo","¿Le gustaría agregar otro comentario?","","","","","","","","","","","","",""
"2022/09/12 1:47:45 p. m. GMT-3","Si","30","Femenino","","0.8","Licenciatura de Grado","","","Lic. en Psicología","","20","Ámbito Privado","Sistémica","","","","","","6","5","6","1","1","4","0","7","6","7","7","7","4","6","6","5","7","1","4","7","0","7","0","7","7","7","1","4","4","1","5","1","5","1","1","3","1","0","2","","","","","","","No","No","No","","","","","",""
"2022/09/12 6:55:08 p. m. GMT-3","Si","29","Femenino","","2.6","Carrera de Especialización","","","Lic. en Psicología","","25","Ámbito Privado","Sistémica","","","","","","7","7","7","0","1","1","1","4","7","7","7","7","1","4","4","7","7","4","7","7","7","4","7","7","4","7","1","4","7","1","7","1","7","1","7","1","0","0","4","","","Algunos planteos de la sección 3 me costaron, por eso respondí 0. ","","","","No","No","No","","","","","",""
"2022/09/20 5:08:08 p. m. GMT-3","Si","30","Femenino","","1.7","Licenciatura de Grado","","","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","6","5","2","2","5","6","4","7","2","5","3","1","5","4","7","7","3","2","7","4","6","6","7","7","6","1","2","5","1","2","2","5","1","3","4","6","2","3","","","","","","","No","Si","No","","","","","",""
"2022/09/23 10:48:03 a. m. GMT-3","Si","39","Masculino","","12","Doctorado","","","Lic. en Psicología","","15","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","2","7","2","1","1","7","7","7","6","7","5","3","3","7","7","7","7","7","7","7","7","7","7","7","6","0","0","0","0","7","0","0","0","4","0","0","4","0","","","","","","","No","Si","No","","","","","",""
"2022/11/08 11:14:11 p. m. GMT-3","Sí","58","Femenino","","34","Licenciatura de Grado","","Pública","Lic. en Psicología","","30","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","1","3","5","2","7","3","6","1","4","1","7","7","4","1","1","4","4","7","7","0","4","7","1","4","7","0","7","0","0","7","7","0","0","7","0","1","0","0","7","","","En la segunda sección las preguntas no son claras. Cuando se habla de tratamiento basado en evidencia, no queda claro a qué se refiere","Hay categorías que no están definidas y como persona participante me costó comprender algunas preguntas y precisar las respuestas ","","","Sí","No","No","","","","","",""
"2022/11/15 7:28:07 p. m. GMT-3","Sí","44","Masculino","","4","Carrera de Especialización","","Pública","Lic. en Musicoterapia","asf","44","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Dialéctico Conductual","","","3","2","5","6","6","5","5","5","5","6","2","3","4","3","4","4","5","5","5","5","5","5","5","5","5","5","4","4","5","4","5","4","4","5","5","6","6","5","5","","","","","","","","","","","","","","",""
"2022/11/22 11:02:30 p. m. GMT-3","Sí","58","Femenino","","34","Licenciatura de Grado","","Pública","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Psicoanálisis","","Lacaniano;Freudiano","","","","0","7","7","0","7","6","7","0","7","7","7","7","7","0","4","1","0","0","1","0","4","4","1","1","7","0","0","7","0","7","7","0","0","7","7","0","0","0","7","","","","","","","","","","Preguntas que profundicen sobre la eficacia de la práctica del psicoanálisis ","No","No","Sí","Al tener como marco teórico el . psicoanálisis muchas preguntas que se realizan se refieren a otras categorías y a otros marcos teóricos y no pueden ser abordadas ni respondidas desde mi marco de trabajo ",""
"2023/02/24 5:49:29 p. m. GMT-3","Sí","41","Femenino","Provincia de Buenos Aires","1.2","Licenciatura de Grado","","Privada","Lic. en Psicología","","12","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales","2","4","3","4","4","2","4","1","5","1","6","4","4","4","4","4","0","5","3","8","2","2","2","2","2","6","0","7","6","0","7","4","4","7","8","6","4","6","2","","","","","","","","","","","No","No","No","Varias, no podria especificar",""
"2023/02/24 5:50:26 p. m. GMT-3","Sí","26","Femenino","Provincia de Buenos Aires","0.2","Licenciatura de Grado","","Pública","Lic. en Psicología","","13","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia Dialéctico Conductual;Terapia de esquemas","","","7","1","1","1","4","1","7","7","1","3","3","7","2","6","7","4","7","7","0","7","5","7","4","7","7","7","2","1","5","1","4","1","6","1","0","4","2","7","3","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 5:52:36 p. m. GMT-3","Sí","27","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia basada en Mindfulness","","","7","1","7","1","3","7","5","7","7","4","5","6","2","4","7","7","8","7","7","7","7","7","5","7","7","4","1","1","4","1","7","1","4","1","1","1","1","0","4","","","","","","","","","","","Sí","No","No","",""
